Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
0.526275634765625;20.9849569470181;0.00010430908203125;0.526336669921875;1;680;0.00114686381630599;-0.00311229688301683;100 µA
0.52734375;21.0063189469641;0.00010418701171875;0.527374267578125;1;681;0.00114686381630599;-0.00311229688301683;100 µA
0.528411865234375;21.0276809469102;0.00010406494140625;0.528411865234375;1;682;0.00114686381630599;-0.00311229688301683;100 µA
0.52947998046875;21.0490429468563;0.00010400390625;0.529510498046875;1;683;0.00114686381630599;-0.00311229688301683;100 µA
0.530548095703125;21.0704049468023;0.000103912353515625;0.530609130859375;1;684;0.00114686381630599;-0.00311229688301683;100 µA
0.5316162109375;21.0917669467484;0.000103790283203125;0.5316162109375;1;685;0.00114686381630599;-0.00311229688301683;100 µA
0.532684326171875;21.1131289466945;0.00010369873046875;0.53271484375;1;686;0.00114686381630599;-0.00311229688301683;100 µA
0.53375244140625;21.1344909466405;0.0001036376953125;0.53375244140625;1;687;0.00114686381630599;-0.00311229688301683;100 µA
0.534820556640625;21.1558529465866;0.000103546142578125;0.53485107421875;1;688;0.00114686381630599;-0.00311229688301683;100 µA
0.535888671875;21.1772149465327;0.000103424072265625;0.53594970703125;1;689;0.00114686381630599;-0.00311229688301683;100 µA
0.536956787109375;21.1985769464787;0.000103363037109375;0.536956787109375;1;690;0.00114686381630599;-0.00311229688301683;100 µA
0.53802490234375;21.2199389464248;0.000103271484375;0.538055419921875;1;691;0.00114686381630599;-0.00311229688301683;100 µA
0.539093017578125;21.2413009463709;0.000103179931640625;0.53912353515625;1;692;0.00114686381630599;-0.00311229688301683;100 µA
0.5401611328125;21.2626629463169;0.00010308837890625;0.5401611328125;1;693;0.00114686381630599;-0.00311229688301683;100 µA
0.541229248046875;21.284024946263;0.00010302734375;0.541229248046875;1;694;0.00114686381630599;-0.00311229688301683;100 µA
0.54229736328125;21.3053869462091;0.000102935791015625;0.542327880859375;1;695;0.00114686381630599;-0.00311229688301683;100 µA
0.543365478515625;21.3267489461551;0.00010284423828125;0.543365478515625;1;696;0.00114686381630599;-0.00311229688301683;100 µA
0.54443359375;21.3481109461012;0.000102752685546875;0.54449462890625;1;697;0.00114686381630599;-0.00311229688301683;100 µA
0.545501708984375;21.3694729460473;0.000102691650390625;0.545501708984375;1;698;0.00114686381630599;-0.00311229688301683;100 µA
0.54656982421875;21.3908349459933;0.000102630615234375;0.546600341796875;1;699;0.00114686381630599;-0.00311229688301683;100 µA
0.547637939453125;21.4121969459394;0.0001025390625;0.547607421875;1;700;0.00114686381630599;-0.00311229688301683;100 µA
0.5487060546875;21.4335589458855;0.00010247802734375;0.5487060546875;1;701;0.00114686381630599;-0.00311229688301683;100 µA
0.549774169921875;21.4549209458315;0.0001024169921875;0.549774169921875;1;702;0.00114686381630599;-0.00311229688301683;100 µA
0.55084228515625;21.4762829457776;0.00010235595703125;0.550872802734375;1;703;0.00114686381630599;-0.00311229688301683;100 µA
0.551910400390625;21.4976449457237;0.000102294921875;0.55194091796875;1;704;0.00114686381630599;-0.00311229688301683;100 µA
0.552978515625;21.5190069456697;0.000102203369140625;0.552978515625;1;705;0.00114686381630599;-0.00311229688301683;100 µA
0.554046630859375;21.5403689456158;0.0001021728515625;0.5540771484375;1;706;0.00114686381630599;-0.00311229688301683;100 µA
0.55511474609375;21.5617309455619;0.000102081298828125;0.55511474609375;1;707;0.00114686381630599;-0.00311229688301683;100 µA
0.556182861328125;21.5830929455079;0.000102020263671875;0.556182861328125;1;708;0.00114686381630599;-0.00311229688301683;100 µA
0.5572509765625;21.604454945454;0.00010198974609375;0.557281494140625;1;709;0.00114686381630599;-0.00311229688301683;100 µA
0.558319091796875;21.6258169454001;0.000101898193359375;0.558349609375;1;710;0.00114686381630599;-0.00311229688301683;100 µA
0.55938720703125;21.6471789453461;0.00010186767578125;0.559417724609375;1;711;0.00114686381630599;-0.00311229688301683;100 µA
0.560455322265625;21.6685409452922;0.000101806640625;0.56048583984375;1;712;0.00114686381630599;-0.00311229688301683;100 µA
0.5615234375;21.6899029452383;0.00010174560546875;0.561553955078125;1;713;0.00114686381630599;-0.00311229688301683;100 µA
0.562591552734375;21.7112649451843;0.000101654052734375;0.562591552734375;1;714;0.00114686381630599;-0.00311229688301683;100 µA
0.56365966796875;21.7326269451304;0.000101654052734375;0.56365966796875;1;715;0.00114686381630599;-0.00311229688301683;100 µA
0.564727783203125;21.7539889450765;0.000101593017578125;0.564788818359375;1;716;0.00114686381630599;-0.00311229688301683;100 µA
0.5657958984375;21.7753509450225;0.0001015625;0.56585693359375;1;717;0.00114686381630599;-0.00311229688301683;100 µA
0.566864013671875;21.7967129449686;0.000101531982421875;0.566864013671875;1;718;0.00114686381630599;-0.00311229688301683;100 µA
0.56793212890625;21.8180749449147;0.000101470947265625;0.56793212890625;1;719;0.00114686381630599;-0.00311229688301683;100 µA
0.569000244140625;21.8394369448607;0.0001014404296875;0.569000244140625;1;720;0.00114686381630599;-0.00311229688301683;100 µA
0.570068359375;21.8607989448068;0.00010137939453125;0.57012939453125;1;721;0.00114686381630599;-0.00311229688301683;100 µA
0.571136474609375;21.8821609447529;0.000101348876953125;0.5711669921875;1;722;0.00114686381630599;-0.00311229688301683;100 µA
0.57220458984375;21.9035229446989;0.000101287841796875;0.572235107421875;1;723;0.00114686381630599;-0.00311229688301683;100 µA
0.573272705078125;21.924884944645;0.000101226806640625;0.57330322265625;1;724;0.00114686381630599;-0.00311229688301683;100 µA
0.5743408203125;21.9462469445911;0.0001011962890625;0.574371337890625;1;725;0.00114686381630599;-0.00311229688301683;100 µA
0.575408935546875;21.9676089445371;0.0001011962890625;0.575469970703125;1;726;0.00114686381630599;-0.00311229688301683;100 µA
0.57647705078125;21.9889709444832;0.000101165771484375;0.57659912109375;1;727;0.00114686381630599;-0.00311229688301683;100 µA
0.577545166015625;22.0103329444293;0.000101104736328125;0.577606201171875;1;728;0.00114686381630599;-0.00311229688301683;100 µA
0.57861328125;22.0316949443753;0.00010107421875;0.578643798828125;1;729;0.00114686381630599;-0.00311229688301683;100 µA
0.579681396484375;22.0530569443214;0.00010107421875;0.5797119140625;1;730;0.00114686381630599;-0.00311229688301683;100 µA
0.58074951171875;22.0744189442674;0.00010101318359375;0.580780029296875;1;731;0.00114686381630599;-0.00311229688301683;100 µA
0.581817626953125;22.0957809442135;0.000100982666015625;0.581878662109375;1;732;0.00114686381630599;-0.00311229688301683;100 µA
0.5828857421875;22.1171429441596;0.00010101318359375;0.582916259765625;1;733;0.00114686381630599;-0.00311229688301683;100 µA
0.583953857421875;22.1385049441056;0.0001009521484375;0.583984375;1;734;0.00114686381630599;-0.00311229688301683;100 µA
0.58502197265625;22.1598669440517;0.000100921630859375;0.585052490234375;1;735;0.00114686381630599;-0.00311229688301683;100 µA
0.586090087890625;22.1812289439978;0.00010089111328125;0.586090087890625;1;736;0.00114686381630599;-0.00311229688301683;100 µA
0.587158203125;22.2025909439438;0.00010089111328125;0.587188720703125;1;737;0.00114686381630599;-0.00311229688301683;100 µA
0.588226318359375;22.2239529438899;0.000100860595703125;0.588287353515625;1;738;0.00114686381630599;-0.00311229688301683;100 µA
0.58929443359375;22.245314943836;0.000100830078125;0.589385986328125;1;739;0.00114686381630599;-0.00311229688301683;100 µA
0.590362548828125;22.266676943782;0.000100799560546875;0.59039306640625;1;740;0.00114686381630599;-0.00311229688301683;100 µA
0.5914306640625;22.2880389437281;0.000100799560546875;0.59149169921875;1;741;0.00114686381630599;-0.00311229688301683;100 µA
0.592498779296875;22.3094009436742;0.000100830078125;0.592529296875;1;742;0.00114686381630599;-0.00311229688301683;100 µA
0.59356689453125;22.3307629436202;0.00010076904296875;0.593658447265625;1;743;0.00114686381630599;-0.00311229688301683;100 µA
