Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
0.163116455078125;10.368131973823;-4.35333251953125E-05;0.163177490234375;2;1838;;
0.1641845703125;10.3702679738176;-4.2242431640625E-05;0.16424560546875;2;1839;;
0.165252685546875;10.3724039738122;-4.102783203125E-05;0.165313720703125;2;1840;;
0.16632080078125;10.3745399738068;-3.97369384765625E-05;0.1663818359375;2;1841;;
0.167388916015625;10.3766759738014;-3.82415771484375E-05;0.16748046875;2;1842;;
0.16845703125;10.378811973796;-3.68011474609375E-05;0.168548583984375;2;1843;;
0.169525146484375;10.3809479737906;-3.56658935546875E-05;0.169586181640625;2;1844;;
0.17059326171875;10.3830839737852;-3.414306640625E-05;0.170684814453125;2;1845;;
0.171661376953125;10.3852199737798;-3.2952880859375E-05;0.171722412109375;2;1846;;
0.1727294921875;10.3873559737744;-3.1573486328125E-05;0.172821044921875;2;1847;;
0.173797607421875;10.3894919737691;-3.026123046875E-05;0.17388916015625;2;1848;;
0.17486572265625;10.3916279737637;-2.91351318359375E-05;0.174957275390625;2;1849;;
0.175933837890625;10.3937639737583;-2.75360107421875E-05;0.175994873046875;2;1850;;
0.177001953125;10.3958999737529;-2.6190185546875E-05;0.17706298828125;2;1851;;
0.178070068359375;10.3980359737475;-2.48809814453125E-05;0.17816162109375;2;1852;;
0.17913818359375;10.4001719737421;-2.34283447265625E-05;0.17919921875;2;1853;;
0.180206298828125;10.4023079737367;-2.20703125E-05;0.180267333984375;2;1854;;
0.1812744140625;10.4044439737313;-2.07366943359375E-05;0.18133544921875;2;1855;;
0.182342529296875;10.4065799737259;-1.929931640625E-05;0.182403564453125;2;1856;;
0.18341064453125;10.4087159737205;-1.78436279296875E-05;0.183502197265625;2;1857;;
0.184478759765625;10.4108519737151;-1.64459228515625E-05;0.184539794921875;2;1858;;
0.185546875;10.4129879737097;-1.50665283203125E-05;0.185577392578125;2;1859;;
0.186614990234375;10.4151239737043;-1.358642578125E-05;0.186676025390625;2;1860;;
0.18768310546875;10.4172599736989;-1.2091064453125E-05;0.187744140625;2;1861;;
0.188751220703125;10.4193959736936;-1.08673095703125E-05;0.188812255859375;2;1862;;
0.1898193359375;10.4215319736882;-9.3658447265625E-06;0.189971923828125;2;1863;;
0.190887451171875;10.4236679736828;-7.9437255859375E-06;0.190948486328125;2;1864;;
