Potential;Current
-0.13358;0.00514
-0.13217;0.00514
-0.1315;0.00514
-0.1304;0.00514
-0.12964;0.00514
-0.12857;0.00514
-0.12729;0.00514
-0.12592;0.00514
-0.12448;0.00514
-0.12393;0.00514
-0.12299;0.00514
-0.12164;0.00514
-0.12073;0.00514
-0.11942;0.00514
-0.11838;0.00514
-0.11746;0.00514
-0.11642;0.00514
-0.11536;0.00514
-0.11414;0.00514
-0.11313;0.00514
-0.11234;0.00514
-0.11157;0.00513
-0.11002;0.00513
-0.1091;0.00513
-0.108;0.00513
-0.10687;0.00513
-0.1059;0.00513
-0.10468;0.00512
-0.10309;0.00512
-0.10248;0.00512
-0.10117;0.00512
-0.10049;0.00512
-0.09937;0.00511
-0.09848;0.00511
-0.09726;0.00511
-0.09613;0.00511
-0.09512;0.00511
-0.09387;0.0051
-0.09314;0.0051
-0.09192;0.0051
-0.09091;0.00509
-0.08966;0.00509
-0.08868;0.00509
-0.08752;0.00509
-0.08655;0.00508
-0.08533;0.00508
-0.08481;0.00507
-0.08322;0.00507
-0.08261;0.00507
-0.08118;0.00506
-0.07983;0.00506
-0.07904;0.00505
-0.07788;0.00505
-0.07693;0.00505
-0.0759;0.00504
-0.07471;0.00503
-0.07379;0.00503
-0.07272;0.00502
-0.0719;0.00502
-0.07071;0.00501
-0.06961;0.00501
-0.0683;0.005
-0.06711;0.00499
-0.06616;0.00499
-0.06497;0.00498
-0.0639;0.00497
-0.06287;0.00496
-0.06216;0.00496
-0.061;0.00495
-0.06003;0.00494
-0.05896;0.00493
-0.05786;0.00493
-0.05676;0.00492
-0.05585;0.00491
-0.05444;0.0049
-0.05344;0.00489
-0.05237;0.00488
-0.05145;0.00487
-0.04993;0.00486
-0.04858;0.00485
-0.04797;0.00484
-0.04621;0.00483
-0.04496;0.00482
-0.04378;0.00481
-0.04274;0.0048
-0.04203;0.00479
-0.04066;0.00477
-0.03975;0.00476
-0.03875;0.00475
-0.03755;0.00474
-0.03658;0.00472
-0.03544;0.00471
-0.03422;0.0047
-0.03314;0.00468
-0.03233;0.00467
-0.03116;0.00465
-0.03017;0.00464
-0.02924;0.00463
-0.02794;0.00461
-0.02674;0.00459
-0.02596;0.00457
-0.02478;0.00456
-0.0238;0.00455
-0.02305;0.00453
-0.02186;0.00451
-0.02104;0.00449
-0.01956;0.00448
-0.01877;0.00446
-0.01721;0.00444
-0.01636;0.00442
-0.01529;0.0044
-0.01428;0.00439
-0.01313;0.00437
-0.01231;0.00435
-0.01104;0.00433
-0.00995;0.00431
-0.00884;0.00429
-0.0077;0.00427
-0.00655;0.00425
-0.00577;0.00423
-0.00455;0.00421
-0.00331;0.0042
-0.00233;0.00417
-0.00139;0.00415
-3.02124e-4;0.00413
0.00101;0.00411
0.00213;0.0041
0.00307;0.00407
0.00438;0.00405
0.00518;0.00403
0.00621;0.00401
0.00742;0.004
0.00854;0.00398
0.00951;0.00396
0.01021;0.00393
0.01169;0.00392
0.01252;0.00391
0.01354;0.00388
0.0145;0.00386
0.01571;0.00384
0.01694;0.00383
0.01797;0.00382
0.01897;0.00379
0.02049;0.00378
0.02118;0.00376
0.02232;0.00375
0.02324;0.00373
0.02413;0.00372
0.02507;0.0037
0.02665;0.00368
0.02762;0.00368
0.02855;0.00366
0.02958;0.00364
0.03057;0.00363
0.03203;0.00361
0.03306;0.00361
0.0341;0.00359
0.03535;0.00357
0.03601;0.00356
0.03651;0.00355
0.03818;0.00354
0.03948;0.00353
0.04039;0.00351
0.04156;0.0035
0.04231;0.00349
0.04363;0.00349
0.04482;0.00347
0.04589;0.00346
0.04684;0.00345
0.04785;0.00345
0.04873;0.00344
0.05;0.00343
0.05087;0.00341
0.05136;0.0034
0.05264;0.0034
0.05371;0.00339
0.05502;0.00338
0.05585;0.00337
0.05707;0.00336
0.05786;0.00336
0.0592;0.00335
0.06012;0.00334
0.06122;0.00333
0.0621;0.00332
0.06339;0.00332
0.06451;0.00331
0.06546;0.0033
0.06671;0.00329
0.0676;0.00328
0.06851;0.00329
0.06943;0.00327
0.07074;0.00326
0.07202;0.00325
0.07336;0.00325
0.07401;0.00325
0.0751;0.00324
0.07602;0.00323
0.07703;0.00322
0.07855;0.00322
0.07916;0.00322
0.08063;0.0032
0.08142;0.0032
0.08252;0.00319
0.0838;0.00319
0.08456;0.00318
0.08545;0.00317
0.08655;0.00316
0.08774;0.00316
0.08911;0.00316
0.09006;0.00315
0.09125;0.00314
0.09204;0.00314
0.09338;0.00313
0.09415;0.00313
0.09494;0.00312
0.09653;0.00311
0.09793;0.00311
0.09866;0.0031
0.09949;0.0031
0.10077;0.00309
0.10217;0.00308
0.1026;0.00307
0.10333;0.00307
0.10498;0.00307
0.10626;0.00306
0.10715;0.00305
0.10852;0.00304
0.10941;0.00304
0.11053;0.00304
0.11099;0.00302
0.1123;0.00301
0.11371;0.003
0.11456;0.003
0.11606;0.003
0.11716;0.00299
0.11761;0.00298
0.1188;0.00297
0.11981;0.00297
0.12128;0.00297
0.12198;0.00296
0.12296;0.00295
0.12448;0.00294
0.12512;0.00294
0.12671;0.00294
0.1275;0.00293
0.1282;0.00292
0.12949;0.00291
0.13031;0.00292
0.13162;0.00291
0.13306;0.0029
0.13382;0.00289
0.13571;0.00289
0.13605;0.00289
0.13678;0.00288
0.13812;0.00287
0.1387;0.00286
0.14035;0.00286
0.14142;0.00286
0.14255;0.00285
0.14374;0.00284
0.14465;0.00284
0.14587;0.00284
0.14645;0.00284
0.14777;0.00283
0.14868;0.00282
0.14969;0.00281
0.151;0.00282
0.15179;0.00281
0.15323;0.00281
0.15402;0.0028
0.15524;0.00279
0.15643;0.0028
0.15723;0.00279
0.15863;0.00278
0.15948;0.00278
0.16043;0.00277
0.16141;0.00278
0.16287;0.00277
0.16364;0.00276
0.1651;0.00275
0.16571;0.00275
0.1673;0.00275
0.16797;0.00274
0.16895;0.00273
0.17001;0.00273
0.1713;0.00273
0.17255;0.00273
0.17355;0.00272
0.17426;0.00271
0.17575;0.00271
0.17651;0.00271
0.17764;0.00271
0.17868;0.0027
0.1799;0.00269
0.18063;0.00269
0.18173;0.0027
0.18265;0.00269
0.18451;0.00269
0.18509;0.00268
0.18597;0.00268
0.18723;0.00268
0.18799;0.00268
0.18948;0.00267
0.19028;0.00267
0.19141;0.00267
0.19266;0.00267
0.19388;0.00267
0.1944;0.00266
0.19589;0.00266
0.19699;0.00266
0.19766;0.00266
0.1994;0.00265
0.19992;0.00265
0.20117;0.00264
0.20221;0.00265
0.20316;0.00265
0.20447;0.00264
0.2052;0.00264
0.20651;0.00263
0.20755;0.00264
0.20837;0.00263
0.20984;0.00263
0.21048;0.00262
0.21182;0.00262
0.21298;0.00263
0.21399;0.00262
0.215;0.00262
0.21625;0.00261
0.21695;0.00261
0.21814;0.00262
0.21921;0.00261
0.2204;0.0026
0.22168;0.0026
0.22247;0.0026
0.22385;0.0026
0.22479;0.0026
0.22562;0.00259
0.22687;0.00259
0.22787;0.00259
0.22876;0.00259
0.23026;0.00258
0.23111;0.00258
0.23218;0.00257
0.23355;0.00258
0.23416;0.00258
0.23492;0.00257
0.23663;0.00256
0.23718;0.00256
0.23846;0.00256
0.23962;0.00256
0.24094;0.00255
0.24158;0.00254
0.24307;0.00254
0.24368;0.00254
0.24496;0.00253
0.24628;0.00252
0.24692;0.00252
0.24811;0.00251
0.24945;0.00252
0.25018;0.00251
0.2515;0.00251
0.25244;0.0025
0.25311;0.0025
0.25467;0.00251
0.2554;0.0025
0.25681;0.00249
0.25781;0.00249
0.25903;0.00249
0.25974;0.00249
0.26117;0.00249
0.26236;0.00248
0.26312;0.00248
0.26416;0.00249
0.26559;0.00248
0.26636;0.00248
0.26755;0.00247
0.26828;0.00247
0.26935;0.00248
0.27026;0.00247
0.27182;0.00247
0.27292;0.00246
0.27396;0.00246
0.2753;0.00247
0.27579;0.00246
0.27673;0.00246
0.27777;0.00245
0.27899;0.00245
0.27994;0.00246
0.28134;0.00245
0.28235;0.00245
0.28336;0.00244
0.28427;0.00245
0.28555;0.00245
0.28644;0.00244
0.28708;0.00244
0.28876;0.00243
0.28983;0.00244
0.29102;0.00244
0.29205;0.00243
0.29327;0.00243
0.29413;0.00243
0.29523;0.00243
0.29663;0.00243
0.29715;0.00242
0.29843;0.00242
0.29962;0.00242
0.30017;0.00243
0.30157;0.00242
0.30261;0.00242
0.30341;0.00241
0.30466;0.00242
0.30588;0.00242
0.30695;0.00241
0.3082;0.00241
0.3092;0.0024
0.31;0.00241
0.31116;0.00241
0.31219;0.0024
0.31348;0.0024
0.31427;0.00239
0.31573;0.0024
0.31656;0.0024
0.31711;0.00239
0.31879;0.00238
0.31961;0.00238
0.32068;0.00239
0.32196;0.00238
0.32303;0.00238
0.32407;0.00238
0.32535;0.00237
0.32666;0.00239
0.32709;0.00239
0.32852;0.00238
0.32941;0.00238
0.33011;0.00238
0.33139;0.00238
0.33246;0.00237
0.33356;0.00236
0.33447;0.00236
0.33594;0.00236
0.33688;0.00236
0.33762;0.00235
0.33911;0.00235
0.34;0.00235
0.34103;0.00235
0.34229;0.00235
0.34323;0.00234
0.34433;0.00234
0.34528;0.00233
0.34662;0.00234
0.34781;0.00233
0.34848;0.00233
0.34958;0.00232
0.35034;0.00232
0.35162;0.00233
0.35281;0.00232
0.35422;0.00232
0.35495;0.00231
0.35614;0.00231
0.35721;0.00232
0.35791;0.00231
0.35919;0.0023
0.36038;0.0023
0.36145;0.0023
0.36209;0.0023
0.36392;0.0023
0.36472;0.00229
0.3656;0.00229
0.36679;0.0023
0.36798;0.0023
0.36893;0.0023
0.36987;0.00229
0.37094;0.00229
0.37192;0.00229
0.37317;0.00229
0.37427;0.00229
0.37509;0.00228
0.37656;0.00228
0.37741;0.00229
0.37842;0.00228
0.37955;0.00227
0.38104;0.00227
0.38184;0.00227
0.38269;0.00227
0.38376;0.00227
0.38455;0.00226
0.38599;0.00226
0.38736;0.00226
0.38776;0.00226
0.38934;0.00226
0.39005;0.00225
0.39105;0.00225
0.3927;0.00225
0.39322;0.00225
0.39459;0.00225
0.39587;0.00225
0.39655;0.00224
0.39777;0.00225
0.39865;0.00225
0.39948;0.00224
0.3989;0.00222
0.39752;0.00221
0.39661;0.00222
0.39557;0.00221
0.39435;0.00222
0.3934;0.00223
0.39233;0.00227
0.39124;0.00235
0.38992;0.00248
0.38913;0.0026
0.38794;0.00268
0.38669;0.00273
0.38586;0.00273
0.38467;0.00268
0.38394;0.00262
0.38245;0.00255
0.38141;0.00249
0.38065;0.00244
0.37939;0.00239
0.37872;0.00235
0.3772;0.00232
0.37646;0.00231
0.37555;0.00229
0.37344;0.00227
0.37335;0.00225
0.37201;0.00224
0.37134;0.00223
0.37006;0.00222
0.36877;0.0022
0.3678;0.00219
0.3667;0.00218
0.36578;0.00217
0.36462;0.00216
0.36365;0.00214
0.3624;0.00213
0.36145;0.00212
0.36081;0.00212
