Potential;Current
-0.46085;0.00214
-0.45981;0.00216
-0.45868;0.00218
-0.45764;0.0022
-0.4566;0.00222
-0.45551;0.00224
-0.45444;0.00226
-0.4534;0.00228
-0.45233;0.0023
-0.45126;0.00232
-0.4502;0.00234
-0.44922;0.00236
-0.44806;0.00238
-0.44702;0.0024
-0.44595;0.00242
-0.44492;0.00244
-0.44382;0.00246
-0.44272;0.00248
-0.44165;0.0025
-0.44064;0.00252
-0.43951;0.00254
-0.43848;0.00256
-0.43744;0.00258
-0.43637;0.0026
-0.4353;0.00263
-0.4342;0.00265
-0.43317;0.00267
-0.43204;0.00269
-0.43106;0.00271
-0.42996;0.00273
-0.42889;0.00276
-0.42783;0.00278
-0.42676;0.0028
-0.42569;0.00282
-0.42465;0.00284
-0.42355;0.00287
-0.42249;0.00289
-0.42145;0.00291
-0.42035;0.00293
-0.41934;0.00295
-0.41824;0.00298
-0.41718;0.003
-0.41608;0.00302
-0.41507;0.00305
-0.41403;0.00307
-0.41296;0.00309
-0.41183;0.00311
-0.41077;0.00314
-0.40976;0.00316
-0.40872;0.00318
-0.40762;0.0032
-0.40659;0.00323
-0.40549;0.00325
-0.40436;0.00327
-0.40335;0.0033
-0.40228;0.00332
-0.40121;0.00335
-0.40018;0.00337
-0.39911;0.00339
-0.39804;0.00342
-0.397;0.00344
-0.39594;0.00346
-0.39487;0.00349
-0.3938;0.00351
-0.39276;0.00353
-0.39166;0.00356
-0.39063;0.00358
-0.38953;0.0036
-0.38846;0.00363
-0.38739;0.00365
-0.38635;0.00367
-0.38528;0.0037
-0.38422;0.00372
-0.38315;0.00374
-0.38211;0.00377
-0.38095;0.00379
-0.37997;0.00381
-0.37888;0.00384
-0.37781;0.00386
-0.37677;0.00388
-0.37573;0.0039
-0.37463;0.00393
-0.3736;0.00395
-0.3725;0.00397
-0.37149;0.00399
-0.37036;0.00401
-0.36929;0.00403
-0.36826;0.00405
-0.36716;0.00408
-0.36615;0.0041
-0.36511;0.00412
-0.36398;0.00414
-0.36295;0.00415
-0.36185;0.00417
-0.36081;0.00419
-0.35977;0.00421
-0.35867;0.00423
-0.35757;0.00425
-0.35654;0.00427
-0.3555;0.00429
-0.3544;0.0043
-0.35336;0.00432
-0.35236;0.00434
-0.35123;0.00435
-0.35019;0.00437
-0.34912;0.00439
-0.34805;0.0044
-0.34702;0.00442
-0.34592;0.00443
-0.34485;0.00445
-0.34381;0.00446
-0.34271;0.00448
-0.34167;0.00449
-0.34058;0.00451
-0.33954;0.00452
-0.33847;0.00453
-0.3374;0.00455
-0.33627;0.00456
-0.33524;0.00457
-0.3342;0.00459
-0.3331;0.0046
-0.33209;0.00461
-0.33099;0.00462
-0.32993;0.00463
-0.32886;0.00465
-0.32779;0.00466
-0.32675;0.00467
-0.32571;0.00468
-0.32458;0.00469
-0.32352;0.0047
-0.32248;0.00471
-0.32141;0.00472
-0.32028;0.00473
-0.31924;0.00474
-0.31818;0.00475
-0.31714;0.00476
-0.3161;0.00477
-0.31503;0.00478
-0.31396;0.00479
-0.31284;0.0048
-0.31183;0.00481
-0.31073;0.00482
-0.30966;0.00483
-0.30859;0.00484
-0.3075;0.00485
-0.30643;0.00485
-0.30542;0.00486
-0.30432;0.00487
-0.30322;0.00488
-0.30222;0.00489
-0.30115;0.0049
-0.30005;0.0049
-0.29898;0.00491
-0.29794;0.00492
-0.29684;0.00493
-0.29578;0.00493
-0.29474;0.00494
-0.29364;0.00495
-0.2926;0.00496
-0.29153;0.00496
-0.2905;0.00497
-0.2894;0.00498
-0.28839;0.00498
-0.28723;0.00499
-0.28622;0.005
-0.28513;0.005
-0.28409;0.00501
-0.28302;0.00502
-0.28192;0.00502
-0.28085;0.00503
-0.27982;0.00504
-0.27869;0.00504
-0.27765;0.00505
-0.27661;0.00506
-0.27551;0.00506
-0.27444;0.00507
-0.27341;0.00507
-0.27234;0.00508
-0.2713;0.00509
-0.2702;0.00509
-0.26917;0.0051
-0.26804;0.0051
-0.26694;0.00511
-0.26596;0.00511
-0.26483;0.00512
-0.26376;0.00512
-0.26273;0.00513
-0.26172;0.00514
-0.26059;0.00514
-0.25949;0.00515
-0.25842;0.00515
-0.25745;0.00516
-0.25638;0.00516
-0.25531;0.00517
-0.25421;0.00517
-0.25314;0.00518
-0.25204;0.00518
-0.25101;0.00519
-0.24994;0.00519
-0.2489;0.0052
-0.24786;0.0052
-0.24673;0.00521
-0.24564;0.00521
-0.24454;0.00522
-0.24353;0.00522
-0.24249;0.00523
-0.24142;0.00523
-0.2403;0.00524
-0.23926;0.00524
-0.23819;0.00524
-0.23712;0.00525
-0.23602;0.00525
-0.23505;0.00526
-0.23395;0.00526
-0.23285;0.00527
-0.23178;0.00527
-0.23068;0.00528
-0.22961;0.00528
-0.22858;0.00528
-0.22751;0.00529
-0.22647;0.00529
-0.22543;0.0053
-0.22427;0.0053
-0.22324;0.00531
-0.22223;0.00531
-0.22113;0.00531
-0.22003;0.00532
-0.21896;0.00532
-0.2179;0.00533
-0.21686;0.00533
-0.21582;0.00534
-0.21466;0.00534
-0.21362;0.00534
-0.21259;0.00535
-0.21146;0.00535
-0.21054;0.00535
-0.20938;0.00536
-0.20831;0.00536
-0.20728;0.00537
-0.20621;0.00537
-0.20514;0.00537
-0.20404;0.00538
-0.20297;0.00538
-0.2019;0.00539
-0.20084;0.00539
-0.19977;0.00539
-0.19879;0.0054
-0.19763;0.0054
-0.19659;0.0054
-0.1955;0.00541
-0.19446;0.00541
-0.19339;0.00541
-0.19232;0.00542
-0.19122;0.00542
-0.19016;0.00542
-0.18912;0.00543
-0.18805;0.00543
-0.18698;0.00544
-0.18591;0.00544
-0.18484;0.00544
-0.18375;0.00544
-0.18274;0.00545
-0.1817;0.00545
-0.18054;0.00545
-0.1795;0.00546
-0.17844;0.00546
-0.17737;0.00546
-0.17624;0.00547
-0.17526;0.00547
-0.17413;0.00547
-0.17307;0.00548
-0.17209;0.00548
-0.17093;0.00548
-0.16989;0.00549
-0.16885;0.00549
-0.16772;0.00549
-0.16669;0.00549
-0.16562;0.0055
-0.16458;0.0055
-0.16348;0.0055
-0.16245;0.00551
-0.16132;0.00551
-0.16031;0.00551
-0.15921;0.00551
-0.1582;0.00552
-0.15714;0.00552
-0.15604;0.00552
-0.15497;0.00552
-0.1539;0.00552
-0.15289;0.00553
-0.15176;0.00553
-0.1507;0.00553
-0.14963;0.00553
-0.14853;0.00554
-0.14752;0.00554
-0.14642;0.00554
-0.14539;0.00554
-0.14426;0.00554
-0.14319;0.00555
-0.14218;0.00555
-0.14108;0.00555
-0.14001;0.00555
-0.13895;0.00555
-0.13788;0.00555
-0.13684;0.00556
-0.13577;0.00556
-0.13467;0.00556
-0.13364;0.00556
-0.13257;0.00556
-0.13147;0.00556
-0.1304;0.00556
-0.12936;0.00557
-0.12827;0.00557
-0.12723;0.00557
-0.12616;0.00557
-0.12506;0.00557
-0.12399;0.00557
-0.12292;0.00557
-0.12189;0.00557
-0.12079;0.00557
-0.11972;0.00557
-0.11868;0.00558
-0.11761;0.00558
-0.11655;0.00558
-0.11545;0.00558
-0.11441;0.00558
-0.1134;0.00558
-0.1123;0.00558
-0.11118;0.00558
-0.11014;0.00558
-0.10907;0.00558
-0.10797;0.00558
-0.10693;0.00558
-0.10583;0.00558
-0.10483;0.00558
-0.1037;0.00558
-0.10269;0.00558
-0.10159;0.00558
-0.10056;0.00558
-0.09946;0.00558
-0.09839;0.00558
-0.09732;0.00558
-0.09625;0.00558
-0.09518;0.00558
-0.09409;0.00558
-0.09305;0.00558
-0.09201;0.00558
-0.09094;0.00558
-0.08984;0.00557
-0.08881;0.00557
-0.08771;0.00557
-0.08667;0.00557
-0.08557;0.00557
-0.0845;0.00557
-0.08344;0.00557
-0.08243;0.00557
-0.0813;0.00557
-0.08026;0.00557
-0.07916;0.00556
-0.07806;0.00556
-0.07703;0.00556
-0.07596;0.00556
-0.07495;0.00556
-0.07385;0.00556
-0.07275;0.00556
-0.07166;0.00556
-0.07062;0.00555
-0.06955;0.00555
-0.06851;0.00555
-0.06741;0.00555
-0.06635;0.00555
-0.06525;0.00555
-0.06421;0.00554
-0.06317;0.00554
-0.06204;0.00554
-0.061;0.00554
-0.06;0.00553
-0.05887;0.00553
-0.05783;0.00553
-0.0567;0.00553
-0.0556;0.00553
-0.05463;0.00552
-0.0535;0.00552
