Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;WE(2).Current (A);Current range
0.4974365234375;15.8440409599976;7.464599609375E-05;0.49749755859375;42;8.251953125E-05;100 µA
0.4949951171875;15.9661109596894;7.415771484375E-05;0.4949951171875;43;8.2550048828125E-05;100 µA
0.4925537109375;16.0881809593812;7.3638916015625E-05;0.492584228515625;44;8.306884765625E-05;100 µA
0.4901123046875;16.2102509590731;7.2845458984375E-05;0.49017333984375;45;8.3709716796875E-05;100 µA
0.4876708984375;16.3323209587649;7.2174072265625E-05;0.487701416015625;46;8.43505859375E-05;100 µA
0.4852294921875;16.4543909584567;7.1502685546875E-05;0.4852294921875;47;8.5052490234375E-05;100 µA
0.4827880859375;16.5764609581485;7.0709228515625E-05;0.482818603515625;48;8.6181640625E-05;100 µA
0.4803466796875;16.6985309578403;7.012939453125E-05;0.480377197265625;49;8.7677001953125E-05;100 µA
0.4779052734375;16.8206009575321;6.9793701171875E-05;0.47796630859375;50;8.9080810546875E-05;100 µA
0.4754638671875;16.9426709572239;6.9183349609375E-05;0.475494384765625;51;9.033203125E-05;100 µA
0.4730224609375;17.0647409569157;6.884765625E-05;0.47308349609375;52;9.1156005859375E-05;100 µA
0.4705810546875;17.1868109566075;6.842041015625E-05;0.47064208984375;53;9.1522216796875E-05;100 µA
0.4681396484375;17.3088809562993;6.7657470703125E-05;0.468170166015625;54;9.1949462890625E-05;100 µA
0.4656982421875;17.4309509559911;6.6986083984375E-05;0.465728759765625;55;9.1644287109375E-05;100 µA
0.4632568359375;17.5530209556829;6.6131591796875E-05;0.46331787109375;56;9.173583984375E-05;100 µA
0.4608154296875;17.6750909553747;6.5582275390625E-05;0.46087646484375;57;9.173583984375E-05;100 µA
0.4583740234375;17.7971609550665;6.4849853515625E-05;0.458404541015625;58;9.24072265625E-05;100 µA
0.4559326171875;17.9192309547583;6.43310546875E-05;0.4559326171875;59;9.3170166015625E-05;100 µA
0.4534912109375;18.0413009544501;6.3873291015625E-05;0.45355224609375;60;9.3902587890625E-05;100 µA
0.4510498046875;18.1633709541419;6.3323974609375E-05;0.451080322265625;61;9.46044921875E-05;100 µA
0.4486083984375;18.2854409538337;6.2744140625E-05;0.44866943359375;62;9.5367431640625E-05;100 µA
0.4461669921875;18.4075109535255;6.256103515625E-05;0.446197509765625;63;9.564208984375E-05;100 µA
0.4437255859375;18.5295809532173;6.1920166015625E-05;0.4437255859375;64;9.5855712890625E-05;100 µA
0.4412841796875;18.6516509529091;6.15234375E-05;0.44134521484375;65;9.6466064453125E-05;100 µA
0.4388427734375;18.7737209526009;6.109619140625E-05;0.4388427734375;66;9.68017578125E-05;100 µA
0.4364013671875;18.8957909522927;6.06689453125E-05;0.43646240234375;67;9.7137451171875E-05;100 µA
0.4339599609375;19.0178609519845;6.0333251953125E-05;0.4339599609375;68;9.735107421875E-05;100 µA
0.4315185546875;19.1399309516763;5.975341796875E-05;0.431549072265625;69;9.7930908203125E-05;100 µA
0.4290771484375;19.2620009513681;5.914306640625E-05;0.4290771484375;70;9.820556640625E-05;100 µA
0.4266357421875;19.3840709510599;5.84716796875E-05;0.426727294921875;71;9.9578857421875E-05;100 µA
0.4241943359375;19.5061409507517;5.7861328125E-05;0.424224853515625;72;0.00010015869140625;100 µA
0.4217529296875;19.6282109504435;5.76171875E-05;0.421783447265625;73;0.00010076904296875;100 µA
0.4193115234375;19.7502809501353;5.70068359375E-05;0.4193115234375;74;0.000101226806640625;100 µA
0.4168701171875;19.8723509498271;5.6365966796875E-05;0.41693115234375;75;0.0001016845703125;100 µA
0.4144287109375;19.9944209495189;5.56640625E-05;0.414520263671875;76;0.000102386474609375;100 µA
0.4119873046875;20.1164909492107;5.48095703125E-05;0.412017822265625;77;0.00010302734375;100 µA
0.4095458984375;20.2385609489025;5.4443359375E-05;0.4095458984375;78;0.000103515625;100 µA
0.4071044921875;20.3606309485943;5.401611328125E-05;0.4071044921875;79;0.000103729248046875;100 µA
0.4046630859375;20.4827009482862;5.3131103515625E-05;0.404693603515625;80;0.000104095458984375;100 µA
0.4022216796875;20.604770947978;5.2276611328125E-05;0.402252197265625;81;0.000104278564453125;100 µA
0.3997802734375;20.7268409476698;5.1422119140625E-05;0.39984130859375;82;0.000105255126953125;100 µA
0.3973388671875;20.8489109473616;5.0567626953125E-05;0.39739990234375;83;0.000105804443359375;100 µA
0.3948974609375;20.9709809470534;4.998779296875E-05;0.3948974609375;84;0.000105743408203125;100 µA
0.3924560546875;21.0930509467452;4.925537109375E-05;0.392486572265625;85;0.000105743408203125;100 µA
0.3900146484375;21.215120946437;4.8260498046875E-05;0.390106201171875;86;0.000106292724609375;100 µA
0.3875732421875;21.3371909461288;4.72900390625E-05;0.387603759765625;87;0.000107177734375;100 µA
0.3851318359375;21.4592609458206;4.6405029296875E-05;0.385162353515625;88;0.000107818603515625;100 µA
0.3826904296875;21.5813309455124;4.5587158203125E-05;0.382720947265625;89;0.000108154296875;100 µA
0.3802490234375;21.7034009452042;4.49249267578125E-05;0.38031005859375;90;0.0001085205078125;100 µA
0.3778076171875;21.825470944896;4.40460205078125E-05;0.377838134765625;91;0.000108917236328125;100 µA
0.3753662109375;21.9475409445878;4.2938232421875E-05;0.37542724609375;92;0.00011004638671875;100 µA
0.3729248046875;22.0696109442796;4.1839599609375E-05;0.37298583984375;93;0.0001107177734375;100 µA
0.3704833984375;22.1916809439714;4.11346435546875E-05;0.37054443359375;94;0.00011126708984375;100 µA
0.3680419921875;22.3137509436632;4.056396484375E-05;0.368072509765625;95;0.00011126708984375;100 µA
0.3656005859375;22.435820943355;3.9666748046875E-05;0.365631103515625;96;0.00011175537109375;100 µA
0.3631591796875;22.5578909430468;3.861083984375E-05;0.363189697265625;97;0.0001126708984375;100 µA
0.3607177734375;22.6799609427386;3.76251220703125E-05;0.3607177734375;98;0.00011346435546875;100 µA
