0RPM	0RPM	0RPM	100RPM	100RPM	100RPM	400RPM	400RPM	400RPM	900RPM	900RPM	900RPM	1600RPM	1600RPM	1600RPM	2500RPM	2500RPM	2500RPM
0.349121	-6.24084E-6	8.5907E-8	0.349121	-3.66486E-6	1.26434E-6	0.349121	-3.64746E-6	1.35712E-6	0.349121	-2.39868E-6	3.01514E-6	0.349121	-2.13837E-6	4.04968E-6	0.349121	-2.6474E-6	4.34875E-6
0.34668	-6.57043E-6	3.9917E-7	0.34668	-3.80951E-6	1.89911E-6	0.34668	-3.78723E-6	1.91345E-6	0.34668	-3.6377E-6	2.35107E-6	0.34668	-3.28766E-6	4.04663E-6	0.34668	-3.05054E-6	5.06287E-6
0.344238	-7.41882E-6	9.90295E-8	0.344238	-4.93469E-6	1.40625E-6	0.344238	-4.86755E-6	1.52679E-6	0.344238	-3.8913E-6	3.11188E-6	0.344238	-4.0802E-6	4.13513E-6	0.344238	-4.65393E-6	4.82483E-6
0.341797	-7.82471E-6	3.99475E-7	0.341797	-5.26123E-6	1.84845E-6	0.341797	-5.30396E-6	1.83777E-6	0.341797	-5.24597E-6	2.57477E-6	0.341797	-5.13E-6	4.44946E-6	0.341797	-5.45044E-6	5.37109E-6
0.339355	-8.77686E-6	1.09253E-7	0.339355	-6.36597E-6	1.60065E-6	0.339355	-6.26526E-6	1.7923E-6	0.339355	-5.68237E-6	3.21167E-6	0.339355	-6.39648E-6	4.35791E-6	0.339355	-6.93054E-6	5.3772E-6
0.336914	-9.31396E-6	3.62244E-7	0.336914	-7.00378E-6	1.77338E-6	0.336914	-7.11365E-6	1.74194E-6	0.336914	-7.1106E-6	2.88239E-6	0.336914	-7.36084E-6	4.93469E-6	0.336914	-8.16956E-6	5.5542E-6
0.334473	-1.03821E-5	1.53687E-7	0.334473	-8.04443E-6	1.83868E-6	0.334473	-7.94678E-6	2.02637E-6	0.334473	-7.91016E-6	3.26416E-6	0.334473	-9.07898E-6	4.66614E-6	0.334473	-9.59167E-6	5.93567E-6
0.332031	-1.11542E-5	2.9892E-7	0.332031	-9.15833E-6	1.73096E-6	0.332031	-9.27734E-6	1.70776E-6	0.332031	-9.27429E-6	3.28094E-6	0.332031	-1.01227E-5	5.42908E-6	0.332031	-1.13922E-5	5.94482E-6
0.32959	-1.2262E-5	2.07397E-7	0.32959	-1.00189E-5	2.04865E-6	0.32959	-9.96094E-6	2.24457E-6	0.32959	-1.05316E-5	3.39783E-6	0.32959	-1.21552E-5	5.06897E-6	0.32959	-1.27808E-5	6.62231E-6
0.327148	-1.33362E-5	2.29919E-7	0.327148	-1.1557E-5	1.76636E-6	0.327148	-1.16882E-5	1.76544E-6	0.327148	-1.17767E-5	3.73932E-6	0.327148	-1.34155E-5	5.95398E-6	0.327148	-1.50635E-5	6.32324E-6
0.324707	-1.44562E-5	2.81281E-7	0.324707	-1.24634E-5	2.26471E-6	0.324707	-1.25214E-5	2.50153E-6	0.324707	-1.36047E-5	3.55469E-6	0.324707	-1.56219E-5	5.52063E-6	0.324707	-1.66595E-5	7.40967E-6
0.322266	-1.58478E-5	1.50513E-7	0.322266	-1.43188E-5	1.82373E-6	0.322266	-1.44287E-5	1.87866E-6	0.322266	-1.48499E-5	4.25415E-6	0.322266	-1.72729E-5	6.43005E-6	0.322266	-1.93451E-5	7.08923E-6
0.319824	-1.70532E-5	3.36304E-7	0.319824	-1.54327E-5	2.49146E-6	0.319824	-1.55212E-5	2.67853E-6	0.319824	-1.70868E-5	3.91998E-6	0.319824	-1.96411E-5	6.2561E-6	0.319824	-2.12585E-5	8.14209E-6
