Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs	Wavelength (nm)	Abs
740,0704346	8,157076081E-4	740,0704346	0,004161839839	740,0704346	0,005533804186	740,0704346	0,006951831747	740,0704346	0,005018979777	740,0704346	0,004029458854	740,0704346	0,003414206207	740,0704346	0,0039710165
738,9343872	5,477299565E-4	738,9343872	0,003954715561	738,9343872	0,005070099607	738,9343872	0,006872796454	738,9343872	0,004781058524	738,9343872	0,003694793209	738,9343872	0,003107805736	738,9343872	0,00374787231
737,9400024	8,245514473E-4	737,9400024	0,004125095438	737,9400024	0,00544933835	737,9400024	0,006573723629	737,9400024	0,00480532134	737,9400024	0,004225091543	737,9400024	0,003648481797	737,9400024	0,00407842407
736,9452515	6,273333565E-4	736,9452515	0,00388526055	736,9452515	0,005239188671	736,9452515	0,00681544235	736,9452515	0,005082330201	736,9452515	0,003971800208	736,9452515	0,002989064669	736,9452515	0,003821535734
735,9501343	9,760392131E-4	735,9501343	0,003961063456	735,9501343	0,005355008412	735,9501343	0,00696387887	735,9501343	0,00522142509	735,9501343	0,003869511187	735,9501343	0,003495928599	735,9501343	0,004073537886
734,9547119	5,716794403E-4	734,9547119	0,003963963129	734,9547119	0,005283652339	734,9547119	0,006695183925	734,9547119	0,004725079518	734,9547119	0,003708943492	734,9547119	0,00314824516	734,9547119	0,003677171422
733,9589233	6,708868314E-4	733,9589233	0,00392827997	733,9589233	0,005555015057	733,9589233	0,006518301088	733,9589233	0,005039222538	733,9589233	0,003880689852	733,9589233	0,003247756045	733,9589233	0,003983503673
732,9627686	8,614328108E-4	732,9627686	0,003896256676	732,9627686	0,005300370045	732,9627686	0,006845551543	732,9627686	0,005047157872	732,9627686	0,003688397119	732,9627686	0,003288782202	732,9627686	0,003947871272
731,9663086	7,442376227E-4	731,9663086	0,003733172547	731,9663086	0,00531433709	731,9663086	0,006376347039	731,9663086	0,005170654505	731,9663086	0,003738838248	731,9663086	0,003332916414	731,9663086	0,003781791078
730,9694824	5,754119484E-4	730,9694824	0,003822528291	730,9694824	0,005178172607	730,9694824	0,006470294669	730,9694824	0,004868509714	730,9694824	0,003663935699	730,9694824	0,003048131242	730,9694824	0,003597032977
729,97229	5,389436265E-4	729,97229	0,003656808985	729,97229	0,004921418615	729,97229	0,006360691041	729,97229	0,004844924435	729,97229	0,003840312827	729,97229	0,002953774296	729,97229	0,003406796604
728,9747925	6,084615598E-4	728,9747925	0,003877268173	728,9747925	0,00540270796	728,9747925	0,006360586267	728,9747925	0,004905631766	728,9747925	0,00379134831	728,9747925	0,003160813125	728,9747925	0,003978983965
727,9769287	7,234420045E-4	727,9769287	0,004174437374	727,9769287	0,005375031382	727,9769287	0,006520770956	727,9769287	0,004971269984	727,9769287	0,003935933579	727,9769287	0,003511664225	727,9769287	0,003833601018
726,9786987	7,349028019E-4	726,9786987	0,003857445205	726,9786987	0,005089428276	726,9786987	0,006393343676	726,9786987	0,004738164134	726,9786987	0,003683436895	726,9786987	0,003251407295	726,9786987	0,003722572234
725,9801636	5,389954313E-4	725,9801636	0,003812970361	725,9801636	0,00509228278	725,9801636	0,006347373594	725,9801636	0,004765355494	725,9801636	0,003840887221	725,9801636	0,00331416144	725,9801636	0,003586175153
724,9812622	6,188046536E-4	724,9812622	0,003854598384	724,9812622	0,004749286454	724,9812622	0,006141409744	724,9812622	0,004862593953	724,9812622	0,003496920224	724,9812622	0,002877704101	724,9812622	0,003590064123
723,9820557	6,010996876E-4	723,9820557	0,003727115225	723,9820557	0,005275555886	723,9820557	0,006439685822	723,9820557	0,004789198283	723,9820557	0,003706019605	723,9820557	0,00301176752	723,9820557	0,003769361647
722,9824219	3,30301089E-4	722,9824219	0,003730927128	722,9824219	0,004665260669	722,9824219	0,006054620724	722,9824219	0,004568171222	722,9824219	0,003204386681	722,9824219	0,002580952132	722,9824219	0,003319639247
721,9825439	6,595054874E-4	721,9825439	0,003888029139	721,9825439	0,004945112858	721,9825439	0,006237328518	721,9825439	0,004818513058	721,9825439	0,003567226464	721,9825439	0,003200761974	721,9825439	0,003510542214
720,9822998	5,561276339E-4	720,9822998	0,003770118812	720,9822998	0,004901259672	720,9822998	0,006274540909	720,9822998	0,004617171362	720,9822998	0,003435313702	720,9822998	0,003110856051	720,9822998	0,003399100155
719,9816895	4,326146154E-4	719,9816895	0,003640702693	719,9816895	0,004772971384	719,9816895	0,006218789145	719,9816895	0,004498016555	719,9816895	0,003282287624	719,9816895	0,002986927284	719,9816895	0,003279001219
718,9807129	6,639646599E-4	718,9807129	0,003714896273	718,9807129	0,004876023158	718,9807129	0,006332244258	718,9807129	0,004823041614	718,9807129	0,003532959148	718,9807129	0,003083611606	718,9807129	0,003693827428
717,9794312	6,103797932E-4	717,9794312	0,003785446752	717,9794312	0,004844610114	717,9794312	0,006387485191	717,9794312	0,004822491668	717,9794312	0,003645610297	717,9794312	0,002895580372	717,9794312	0,003500756109
716,9778442	6,26063149E-4	716,9778442	0,003944658209	716,9778442	0,004880761262	716,9778442	0,006543633062	716,9778442	0,004866023082	716,9778442	0,003706828924	716,9778442	0,003113202751	716,9778442	0,003693148494
715,9758911	6,374436198E-4	715,9758911	0,003603923833	715,9758911	0,00491421856	715,9758911	0,00629920233	715,9758911	0,004707362968	715,9758911	0,00353718712	715,9758911	0,002855555387	715,9758911	0,003434452694
714,9735718	4,360349849E-4	714,9735718	0,003668060526	714,9735718	0,004830370657	714,9735718	0,006237565074	714,9735718	0,004842961207	714,9735718	0,003603558522	714,9735718	0,00282702432	714,9735718	0,003331977408
713,9709473	4,030503042E-4	713,9709473	0,0032995285	713,9709473	0,004811289255	713,9709473	0,005970656872	713,9709473	0,004675543867	713,9709473	0,003485647263	713,9709473	0,002741233446	713,9709473	0,003265204141
712,9679565	2,926618035E-4	712,9679565	0,003459970932	712,9679565	0,004649326205	712,9679565	0,006111112889	712,9679565	0,004724398721	712,9679565	0,003399909008	712,9679565	0,002867098665	712,9679565	0,003238132456
711,9646606	5,050440668E-4	711,9646606	0,003657513997	711,9646606	0,004684414249	711,9646606	0,006167612504	711,9646606	0,004717385862	711,9646606	0,003677458502	711,9646606	0,002831010614	711,9646606	0,003274802119
710,9609985	2,815234766E-4	710,9609985	0,003456735285	710,9609985	0,004640482832	710,9609985	0,005972625222	710,9609985	0,004622717854	710,9609985	0,00339563028	710,9609985	0,002831714228	710,9609985	0,003180526197
709,9570313	4,173787602E-4	709,9570313	0,003548095934	709,9570313	0,004691479262	709,9570313	0,006175122224	709,9570313	0,004874190316	709,9570313	0,00346685946	709,9570313	0,002970194211	709,9570313	0,003551645437
708,9527588	3,337983799E-4	708,9527588	0,00377980643	708,9527588	0,005096840207	708,9527588	0,006336761639	708,9527588	0,004576307256	708,9527588	0,00339443027	708,9527588	0,003115470987	708,9527588	0,003366411431
